"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Hate Annual Shots? 
A Japanese Company has invented a drug that can kill the Flu in 24 hours.

@michaelvonirvin 
Mi… https://t.co/bC1zjnhP8q",FALSE,0,,2018-03-03 00:05:07,TRUE,,"969725319983894534",,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","NursingInABox",0,FALSE,FALSE,,
"RT @MicrobesInfect: How the 1918 #Flu #Pandemic Helped Advance Women’s Rights. 

While the virus disproportionately affected young men, wom…",FALSE,0,,2018-03-03 00:03:49,FALSE,,"969724993545392128",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CFortunae",16,TRUE,FALSE,,
"RT @jankluytmans: We are experiencing the worst #influenza season that I have seen. All hospitals in my area are flooded by #flu patients a…",FALSE,0,,2018-03-03 00:03:11,FALSE,,"969724831611736064",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yacincuenta",8,TRUE,FALSE,,
"RT @mihotep: Because #WHO &amp; #CDC were busy this #flu season lobbying govts to tax the poor for life's simple joys and slandering the #harml…",FALSE,0,,2018-03-03 00:03:06,FALSE,,"969724812078678016",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","phil_w888",1,TRUE,FALSE,,
"It's #Flu Season! Get a vaccine to avoid serious illness!  https://t.co/gZQkRQ43IB

#supplements #antiaging… https://t.co/ojkf3SmARs",FALSE,0,,2018-03-03 00:03:06,TRUE,,"969724810510176256",,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","drmurray99",0,FALSE,FALSE,,
"RT @hipcProject: Here is #flu data from &gt; 500 people mapping their #immune systems 'omics - FREE to download, analyze. Part of our collabor…",FALSE,0,,2018-03-03 00:02:54,FALSE,,"969724762288246785",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SesmaLab",4,TRUE,FALSE,,
"Hate Annual Shots? 
A Japanese Company has invented a drug that can kill the Flu in 24 hours.

@michaelvonirvin 
Mi… https://t.co/jQzYMJ6Y2U",FALSE,0,,2018-03-03 00:02:06,TRUE,,"969724559883669505",,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","MagneticMailbox",0,FALSE,FALSE,,
"RT @CDCFlu: #Flu and the common cold are both respiratory illnesses, but they are caused by different viruses. Find out more about the diff…",FALSE,0,,2018-03-03 00:01:34,FALSE,,"969724425317871619",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HHSRegion6",94,TRUE,FALSE,,
"Hate Annual Shots? 
A Japanese Company has invented a drug that can kill the Flu in 24 hours.

@michaelvonirvin 
Mi… https://t.co/2AU5z80u0c",FALSE,0,,2018-03-03 00:01:05,TRUE,,"969724306174431232",,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","MagneticMailbox",0,FALSE,FALSE,,
"Hidden in Plain Sight #Hermetic Code &amp; a Natural #Flu Shot you can find in your cupboard.  The #Conspiracy Show wit… https://t.co/cRmOjNqOl5",FALSE,0,,2018-03-03 00:00:10,TRUE,,"969724074904694790",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TalkZoneRadio",0,FALSE,FALSE,,
