"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GoberLoja: Si eres parte del grupo de riesgo, acude al centro de salud más cercano y vacúnate contra la #Influenza.
#EtapaInvernal http…",FALSE,0,,2018-02-22 05:46:39,FALSE,,"966549776757030912",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","defensor_manu",130,TRUE,FALSE,,
"RT @aetiology: Another new avian #influenza strain has caused disease in a person (H7N4, for those of you keeping track). https://t.co/sQAH…",FALSE,0,,2018-02-22 05:41:54,FALSE,,"966548581183311872",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulieMarieWolf",13,TRUE,FALSE,,
"RT @RealNaturalNews: Given the #influenza outbreak, are you getting a #flushot? https://t.co/pEsSpfMNYp #flu",FALSE,0,,2018-02-22 05:38:01,FALSE,,"966547606372605952",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Daily12345L",1,TRUE,FALSE,,
"RT @GoberLoja: Recuerda tomar estas medidas de prevención para evitar la #Influenza.
#EtapaInvernal https://t.co/JsdsxPqGKm",FALSE,0,,2018-02-22 05:37:36,FALSE,,"966547502400000000",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","defensor_manu",109,TRUE,FALSE,,
"RT @MVEspinosaS: El virus de #Influenza está circulando en el mundo entero. Se repite año tras año, con mayor o menor intensidad. #Ecuador…",FALSE,0,,2018-02-22 05:29:15,FALSE,,"966545401514950656",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MejiaGalia",119,TRUE,FALSE,,
"RT @MVEspinosaS: En @Salud_Ec implementamos protocolos de vigilancia y activamos mecanismos de emergencia frente a #Influenza. Además se ha…",FALSE,0,,2018-02-22 05:29:02,FALSE,,"966545343683923968",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MejiaGalia",90,TRUE,FALSE,,
"RT @MVEspinosaS: .@Salud_Ec mantiene la estrategia de inmunización en todo el país como respuesta a #Influenza. 3.9 millones de dosis de va…",FALSE,0,,2018-02-22 05:28:51,FALSE,,"966545298267963393",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MejiaGalia",103,TRUE,FALSE,,
"RT @Salud_Ec: Ministra @MVEspinosaS destaca recuperación de la salud de 1.042 personas con #Influenza ante la Comisión de @FiscalizacionAN…",FALSE,0,,2018-02-22 05:28:17,FALSE,,"966545157339394048",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MejiaGalia",136,TRUE,FALSE,,
"RT @Salud_Ec: Ministra @MVEspinosaS destaca recuperación de la salud de 1.042 personas con #Influenza ante la Comisión de @FiscalizacionAN…",FALSE,0,,2018-02-22 05:26:56,FALSE,,"966544816958926848",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarthaCedeno15",136,TRUE,FALSE,,
"RT @aetiology: Another new avian #influenza strain has caused disease in a person (H7N4, for those of you keeping track). https://t.co/sQAH…",FALSE,0,,2018-02-22 05:26:52,FALSE,,"966544798726443008",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_elmicrobito",13,TRUE,FALSE,,
"RT @aetiology: Another new avian #influenza strain has caused disease in a person (H7N4, for those of you keeping track). https://t.co/sQAH…",FALSE,0,,2018-02-22 05:19:59,FALSE,,"966543069259685888",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Gerardo8aV",13,TRUE,FALSE,,
"RT @aetiology: Another new avian #influenza strain has caused disease in a person (H7N4, for those of you keeping track). https://t.co/sQAH…",FALSE,0,,2018-02-22 05:18:38,FALSE,,"966542727876718593",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GlobalBioD",13,TRUE,FALSE,,
"RT @Salud_Ec: Ministra @MVEspinosaS destaca recuperación de la salud de 1.042 personas con #Influenza ante la Comisión de @FiscalizacionAN…",FALSE,0,,2018-02-22 05:12:13,FALSE,,"966541112419725313",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dianyjimeneza",136,TRUE,FALSE,,
